req_id,client_id,job_title,job_category,employment_type,location,priority,openings,bill_rate,pay_rate,open_date,target_close_date,status,recruiter_owner
498,36,Salesforce Developer,IT,Permanent,"San Jose, CA",Low,6,0.0,96138.85,2024-02-24,2024-06-14,Filled,23
499,28,Risk Analyst,Finance,Contract,"Boston, MA",High,9,63.34,44.21,2023-06-01,2023-08-13,Closed,15
500,23,Actuary,Insurance,Contract,"McLean, VA",Medium,6,94.01,73.3,2023-02-27,2023-06-18,Closed,8
501,35,Clinical Data Manager,Pharma,Contract,"Newark, NJ",Medium,8,80.01,58.81,2022-09-18,2022-12-03,Filled,1
502,3,Accounting Manager,Finance,Contract,"Atlanta, GA",High,4,97.66,71.46,2022-01-07,2022-03-16,Open,1
503,45,Credit Analyst,Finance,Contract,"Detroit, MI",High,1,123.53,90.32,2023-08-09,2023-09-27,Filled,12
504,9,Data Engineer,IT,Contract,"Chicago, IL",High,10,79.37,58.59,2022-09-20,2022-11-27,Filled,19
505,14,Actuary,Insurance,Contract,"San Francisco, CA",Low,2,107.89,81.92,2023-05-15,2023-09-10,Closed,21
506,3,React Developer,IT,Permanent,"Baltimore, MD",Medium,7,0.0,93615.96,2022-02-27,2022-05-10,Filled,4
507,50,Supply Chain Analyst,Logistics,Contract,"Austin, TX",Medium,1,109.81,84.0,2023-10-12,2024-01-30,Open,17
508,21,Python Developer,IT,Permanent,"Charlotte, NC",High,3,0.0,107368.47,2023-05-30,2023-09-26,Open,22
509,26,Accounting Manager,Finance,Contract-to-Hire,"Houston, TX",Medium,7,110.23,81.3,2022-08-16,2022-11-09,Open,5
510,6,SQL Developer,IT,Contract-to-Hire,"Boston, MA",Medium,9,95.72,65.56,2022-09-26,2022-11-05,Filled,25
511,9,Compliance Officer,Finance,Contract,"Boston, MA",High,9,88.47,61.91,2023-10-30,2024-02-10,Closed,24
512,16,Medical Coder,Healthcare,Contract,"Charlotte, NC",High,2,55.73,42.23,2023-12-03,2024-03-15,Filled,14
513,23,Business Analyst,IT,Contract,"Austin, TX",High,6,75.66,55.94,2024-02-28,2024-05-07,Closed,15
514,10,Radiologist Technician,Healthcare,Contract-to-Hire,"New York, NY",High,2,53.59,40.83,2023-12-03,2024-02-18,Open,24
515,16,Python Developer,IT,Permanent,"Atlanta, GA",High,5,0.0,134504.73,2022-01-15,2022-03-29,Filled,16
516,22,Java Developer,IT,Contract,"Columbus, OH",Low,8,109.2,76.57,2023-06-20,2023-08-22,Closed,24
517,45,Data Engineer,IT,Contract,"Miami, FL",High,1,80.13,61.75,2022-02-14,2022-04-17,Open,7
518,45,Project Engineer,Energy,Permanent,"Denver, CO",High,7,0.0,85346.11,2023-11-02,2023-12-03,Open,22
519,43,Supply Chain Analyst,Logistics,Contract,"Nashville, TN",Medium,9,119.14,81.24,2023-01-31,2023-03-31,Open,11
520,39,Physical Therapist,Healthcare,Permanent,"New York, NY",Low,1,0.0,71601.55,2023-05-28,2023-08-24,Open,8
521,34,Actuary,Insurance,Contract,"San Francisco, CA",Medium,6,76.69,55.17,2022-01-19,2022-04-03,Open,8
522,18,Medical Coder,Healthcare,Contract,"Austin, TX",High,3,100.06,76.83,2023-07-23,2023-09-26,Open,13
523,9,Risk Analyst,Finance,Contract,"Minneapolis, MN",High,7,108.39,79.35,2023-09-20,2024-01-08,Open,19
524,28,Data Engineer,IT,Contract,"Columbus, OH",High,10,122.78,87.53,2022-05-15,2022-07-10,Closed,22
525,13,Project Engineer,Energy,Contract,"Miami, FL",High,10,74.72,56.08,2022-05-19,2022-08-12,Open,11
526,36,.NET Developer,IT,Permanent,"San Jose, CA",High,1,0.0,136145.12,2022-07-08,2022-09-16,Open,14
527,20,RN - ER,Healthcare,Contract-to-Hire,"Nashville, TN",High,4,109.65,83.57,2024-01-27,2024-04-01,Open,5
528,2,Salesforce Developer,IT,Permanent,"Phoenix, AZ",High,10,0.0,111270.99,2023-08-04,2023-11-20,Open,8
529,2,Risk Analyst,Finance,Contract,"Los Angeles, CA",Medium,6,56.36,42.72,2023-05-30,2023-09-14,Open,13
530,31,Physical Therapist,Healthcare,Contract,"Philadelphia, PA",Medium,7,63.1,44.34,2024-02-22,2024-03-24,Open,24
531,13,Risk Analyst,Finance,Contract,"Denver, CO",Medium,8,55.29,42.72,2023-09-24,2023-12-25,Open,14
532,50,RN - ICU,Healthcare,Contract,"Newark, NJ",Low,10,98.63,75.2,2022-11-17,2023-02-05,Closed,18
533,42,Medical Coder,Healthcare,Contract,"Dallas, TX",Low,7,91.65,66.46,2022-09-09,2022-12-14,Open,18
534,34,RN - ICU,Healthcare,Contract,"Atlanta, GA",Medium,3,65.19,47.19,2024-03-03,2024-05-08,Filled,10
535,4,Radiologist Technician,Healthcare,Permanent,"Denver, CO",Medium,2,0.0,132775.67,2024-04-29,2024-08-19,Closed,4
536,50,Salesforce Developer,IT,Permanent,"Portland, OR",Medium,7,0.0,135338.18,2023-07-14,2023-08-30,Open,15
537,12,Java Developer,IT,Contract-to-Hire,"New York, NY",Medium,6,97.23,73.05,2023-04-11,2023-05-22,Open,23
538,8,Accounting Manager,Finance,Contract,"McLean, VA",Medium,9,59.13,42.87,2022-03-29,2022-07-04,Closed,6
539,36,RN - ICU,Healthcare,Contract-to-Hire,"Charlotte, NC",High,3,53.51,37.3,2023-08-03,2023-11-25,Open,6
540,46,Credit Analyst,Finance,Contract,"Baltimore, MD",High,2,83.57,59.41,2023-04-02,2023-06-07,Open,7
541,40,Java Developer,IT,Contract,"Orlando, FL",Low,8,50.98,37.2,2023-07-11,2023-08-10,Open,7
542,43,Clinical Data Manager,Pharma,Contract-to-Hire,"Phoenix, AZ",High,9,86.3,62.5,2023-09-07,2023-10-07,Open,20
543,36,Financial Analyst,Finance,Contract,"Nashville, TN",High,1,53.91,37.46,2022-12-24,2023-01-27,Closed,20
544,22,React Developer,IT,Contract,"San Francisco, CA",Medium,10,53.92,38.91,2022-06-15,2022-10-09,Closed,19
545,36,Project Engineer,Energy,Contract,"McLean, VA",Medium,6,127.3,96.1,2022-02-06,2022-03-19,Open,13
546,5,Mechanical Engineer,Manufacturing,Contract-to-Hire,"Orlando, FL",Medium,6,117.46,80.64,2022-05-18,2022-07-02,Closed,14
547,14,Medical Coder,Healthcare,Contract,"Newark, NJ",High,8,98.96,68.37,2023-10-07,2024-01-12,Closed,23
548,28,React Developer,IT,Permanent,"Seattle, WA",Low,6,0.0,128584.85,2023-06-23,2023-10-04,Open,20
549,32,Clinical Data Manager,Pharma,Permanent,"Orlando, FL",Low,4,0.0,119688.86,2023-05-20,2023-07-12,Open,7
550,8,Java Developer,IT,Contract,"Newark, NJ",Medium,7,87.19,66.24,2022-08-01,2022-11-17,Open,11
551,36,Business Analyst,IT,Contract,"Atlanta, GA",Medium,5,50.9,35.64,2022-09-18,2022-10-26,Closed,18
552,50,SQL Developer,IT,Contract,"Boston, MA",Low,1,59.11,42.16,2024-01-12,2024-04-23,Open,7
553,22,SQL Developer,IT,Contract-to-Hire,"Nashville, TN",High,8,123.29,93.67,2022-05-20,2022-08-19,Closed,11
554,27,LPN,Healthcare,Contract,"Newark, NJ",Low,9,116.81,82.93,2023-11-26,2024-02-04,Open,7
555,44,Clinical Data Manager,Pharma,Contract,"McLean, VA",Medium,1,113.96,87.61,2022-03-09,2022-04-27,Open,13
556,35,Financial Analyst,Finance,Contract,"Phoenix, AZ",Medium,1,95.68,68.79,2022-04-30,2022-07-08,Open,14
557,32,.NET Developer,IT,Contract,"Atlanta, GA",Medium,3,79.73,60.83,2022-08-10,2022-11-15,Open,12
558,3,Project Engineer,Energy,Contract,"Austin, TX",Low,3,123.07,89.15,2024-03-29,2024-06-28,Open,11
559,31,Actuary,Insurance,Permanent,"Charlotte, NC",Low,3,0.0,88276.9,2022-05-27,2022-07-08,Open,24
560,30,Python Developer,IT,Contract-to-Hire,"Austin, TX",Low,2,107.09,78.41,2022-11-15,2022-12-20,Open,15
561,3,Telecom Engineer,Telecom,Contract,"Atlanta, GA",Medium,4,91.65,68.36,2022-01-24,2022-05-07,Open,7
562,19,Cybersecurity Analyst,IT,Contract,"Minneapolis, MN",High,3,92.58,70.11,2022-05-01,2022-07-04,Open,4
563,40,Java Developer,IT,Permanent,"New York, NY",Low,6,0.0,103554.55,2023-07-10,2023-09-22,Open,5
564,19,Compliance Officer,Finance,Permanent,"Houston, TX",Medium,9,0.0,83361.88,2022-11-15,2023-03-03,Filled,2
565,2,Data Engineer,IT,Contract-to-Hire,"Boston, MA",Medium,7,122.26,83.75,2022-02-25,2022-04-07,Open,23
566,38,Radiologist Technician,Healthcare,Contract-to-Hire,"New York, NY",Low,2,99.31,70.63,2024-01-01,2024-04-25,Filled,19
567,6,Data Engineer,IT,Contract-to-Hire,"Nashville, TN",Medium,4,57.78,41.08,2023-12-29,2024-03-27,Open,5
568,40,Supply Chain Analyst,Logistics,Contract,"Portland, OR",Medium,8,123.03,88.48,2023-11-13,2024-01-24,Filled,1
569,31,.NET Developer,IT,Contract,"San Francisco, CA",Low,10,78.12,56.72,2022-10-17,2022-12-30,Open,17
570,26,DevOps Engineer,IT,Contract,"Atlanta, GA",Medium,10,76.07,56.67,2023-06-30,2023-09-27,Filled,8
571,16,Radiologist Technician,Healthcare,Permanent,"Orlando, FL",Medium,4,0.0,76926.52,2023-01-29,2023-03-08,Closed,14
572,28,Project Engineer,Energy,Permanent,"Columbus, OH",High,2,0.0,124049.51,2023-12-12,2024-02-10,Closed,16
573,38,DevOps Engineer,IT,Permanent,"Columbus, OH",High,5,0.0,99718.13,2022-04-10,2022-07-05,Filled,3
574,7,Radiologist Technician,Healthcare,Permanent,"Boston, MA",High,2,0.0,122850.75,2022-12-02,2023-03-05,Open,5
575,38,Telecom Engineer,Telecom,Contract,"Denver, CO",Medium,10,110.57,82.49,2023-06-29,2023-09-04,Closed,15
576,14,Cybersecurity Analyst,IT,Contract,"Minneapolis, MN",Medium,2,73.98,56.18,2022-11-08,2023-02-01,Closed,1
577,33,Radiologist Technician,Healthcare,Contract-to-Hire,"Dallas, TX",High,1,117.81,90.15,2023-01-14,2023-04-24,Closed,12
578,19,DevOps Engineer,IT,Contract,"Boston, MA",Medium,7,68.82,51.63,2023-10-03,2023-12-12,Filled,14
579,14,Pharmacy Tech,Healthcare,Contract,"Boston, MA",High,5,87.99,61.49,2023-01-04,2023-03-28,Open,5
580,5,Java Developer,IT,Contract,"Minneapolis, MN",High,3,61.52,47.28,2023-03-24,2023-05-10,Filled,15
581,45,Telecom Engineer,Telecom,Permanent,"Phoenix, AZ",Low,7,0.0,134773.33,2022-07-04,2022-09-30,Closed,15
582,23,RN - ICU,Healthcare,Contract,"Detroit, MI",Low,5,64.86,48.03,2023-05-26,2023-07-25,Filled,18
583,24,Clinical Data Manager,Pharma,Contract,"Portland, OR",Low,8,128.26,94.5,2023-01-13,2023-02-26,Open,5
584,47,Accounting Manager,Finance,Permanent,"Baltimore, MD",Medium,9,0.0,138768.43,2024-03-08,2024-05-12,Open,17
585,40,Telecom Engineer,Telecom,Contract,"Minneapolis, MN",Low,10,69.62,51.73,2023-11-16,2023-12-25,Open,20
586,22,Python Developer,IT,Permanent,"Orlando, FL",Medium,10,0.0,123389.53,2023-04-10,2023-07-14,Open,14
587,19,Business Analyst,IT,Contract,"Phoenix, AZ",Low,5,63.4,47.52,2024-02-07,2024-04-15,Open,21
588,38,Physical Therapist,Healthcare,Contract,"Atlanta, GA",High,5,95.83,71.45,2024-04-08,2024-07-26,Filled,3
589,33,Data Engineer,IT,Contract,"Los Angeles, CA",Medium,5,118.12,83.6,2023-09-23,2023-11-27,Open,24
590,39,DevOps Engineer,IT,Contract,"Minneapolis, MN",High,5,122.81,92.59,2023-04-03,2023-06-19,Open,16
591,34,Salesforce Developer,IT,Contract,"Los Angeles, CA",Medium,7,77.43,53.31,2023-09-02,2023-10-21,Filled,8
592,29,Risk Analyst,Finance,Contract,"McLean, VA",Medium,2,66.87,50.38,2022-02-25,2022-06-17,Open,6
593,26,LPN,Healthcare,Contract-to-Hire,"Baltimore, MD",Medium,7,74.11,55.92,2023-06-30,2023-08-28,Filled,9
594,34,Data Engineer,IT,Contract-to-Hire,"Denver, CO",Medium,9,50.95,39.37,2023-01-27,2023-05-23,Open,4
595,35,Actuary,Insurance,Contract,"Nashville, TN",Medium,5,126.49,91.47,2022-10-07,2022-12-18,Open,9
596,38,Financial Analyst,Finance,Contract-to-Hire,"Chicago, IL",Low,4,86.89,64.95,2024-01-22,2024-05-17,Closed,11
597,45,Risk Analyst,Finance,Contract,"Austin, TX",Medium,2,75.06,51.12,2022-03-11,2022-04-11,Closed,4
598,29,Risk Analyst,Finance,Contract,"New York, NY",Low,2,67.55,47.85,2022-02-04,2022-03-09,Open,20
599,14,Risk Analyst,Finance,Permanent,"Portland, OR",Low,3,0.0,112856.22,2022-05-03,2022-06-13,Filled,22
600,42,Credit Analyst,Finance,Permanent,"San Francisco, CA",High,5,0.0,125240.0,2022-04-24,2022-08-21,Open,15
601,5,Risk Analyst,Finance,Contract-to-Hire,"Philadelphia, PA",Medium,5,123.82,87.62,2023-12-10,2024-04-03,Open,25
602,18,.NET Developer,IT,Contract,"Dallas, TX",High,8,80.62,57.5,2022-09-22,2022-11-24,Open,16
603,13,Actuary,Insurance,Permanent,"Nashville, TN",High,9,0.0,94447.58,2023-05-19,2023-07-01,Filled,7
604,42,Radiologist Technician,Healthcare,Contract,"San Jose, CA",High,10,123.01,92.45,2022-02-05,2022-03-16,Open,25
605,2,LPN,Healthcare,Contract-to-Hire,"Dallas, TX",Medium,3,61.91,46.06,2023-11-12,2024-01-30,Open,13
606,1,Clinical Data Manager,Pharma,Permanent,"Baltimore, MD",Medium,7,0.0,118070.42,2023-05-18,2023-08-17,Open,18
607,1,Network Engineer,IT,Contract-to-Hire,"Orlando, FL",Low,6,126.33,96.24,2022-05-05,2022-08-15,Open,22
608,26,React Developer,IT,Contract,"Houston, TX",Medium,2,100.58,78.04,2023-01-10,2023-04-18,Filled,25
609,19,Credit Analyst,Finance,Contract,"Boston, MA",Medium,7,64.13,43.86,2023-11-08,2024-01-01,Open,21
610,23,Compliance Officer,Finance,Contract-to-Hire,"Newark, NJ",High,4,56.79,42.21,2022-07-14,2022-08-30,Open,24
611,16,Clinical Data Manager,Pharma,Contract-to-Hire,"Nashville, TN",Low,8,81.1,61.58,2022-11-12,2023-02-13,Open,2
612,4,SQL Developer,IT,Contract,"San Jose, CA",Low,8,113.02,77.34,2022-08-05,2022-11-26,Closed,5
613,38,Accounting Manager,Finance,Contract,"Los Angeles, CA",High,8,123.99,84.77,2023-05-16,2023-09-06,Closed,2
614,45,Network Engineer,IT,Contract,"Atlanta, GA",Medium,10,51.15,38.02,2024-04-20,2024-06-01,Open,19
615,7,.NET Developer,IT,Contract,"Chicago, IL",Medium,6,89.77,68.22,2022-03-06,2022-04-30,Filled,11
616,44,DevOps Engineer,IT,Permanent,"Charlotte, NC",High,10,0.0,105941.36,2024-03-23,2024-05-19,Open,11
617,8,.NET Developer,IT,Contract,"Portland, OR",High,8,61.3,44.23,2023-01-14,2023-04-24,Open,19
618,9,Python Developer,IT,Contract,"Boston, MA",High,8,113.28,84.19,2024-03-07,2024-04-26,Open,1
619,12,Java Developer,IT,Contract,"Atlanta, GA",Medium,3,106.54,78.77,2023-03-03,2023-06-29,Open,5
620,18,Financial Analyst,Finance,Permanent,"Chicago, IL",High,10,0.0,98781.43,2022-06-28,2022-10-14,Open,23
621,40,Physical Therapist,Healthcare,Contract,"McLean, VA",Low,4,100.18,75.96,2023-03-05,2023-04-04,Open,4
622,7,Medical Coder,Healthcare,Permanent,"Baltimore, MD",High,8,0.0,92142.6,2023-07-07,2023-10-09,Open,9
623,13,Python Developer,IT,Contract,"Orlando, FL",High,1,113.73,85.13,2023-05-25,2023-07-16,Open,21
624,19,Business Analyst,IT,Contract,"Baltimore, MD",High,1,84.77,60.48,2023-04-10,2023-05-15,Closed,6
625,2,Salesforce Developer,IT,Contract-to-Hire,"Chicago, IL",Low,10,91.19,62.66,2024-01-09,2024-04-04,Open,14
626,48,Cybersecurity Analyst,IT,Contract,"Chicago, IL",Medium,4,68.41,47.27,2022-04-11,2022-06-10,Filled,8
627,31,.NET Developer,IT,Permanent,"Philadelphia, PA",Low,8,0.0,101330.58,2022-05-29,2022-07-25,Open,13
628,9,Business Analyst,IT,Contract-to-Hire,"Seattle, WA",High,1,107.59,79.96,2022-07-27,2022-10-07,Closed,2
629,9,Cloud Architect,IT,Contract,"San Francisco, CA",High,5,118.13,85.75,2024-02-18,2024-05-01,Closed,6
630,41,Project Engineer,Energy,Permanent,"Detroit, MI",High,7,0.0,132918.36,2023-07-21,2023-09-18,Closed,16
631,14,Supply Chain Analyst,Logistics,Permanent,"Denver, CO",Medium,4,0.0,100511.67,2022-10-13,2022-11-13,Open,11
632,38,RN - ER,Healthcare,Contract,"Los Angeles, CA",Medium,1,121.35,89.7,2023-08-11,2023-09-10,Open,16
633,50,Accounting Manager,Finance,Permanent,"Miami, FL",High,8,0.0,67521.54,2023-02-08,2023-05-10,Filled,8
634,36,.NET Developer,IT,Contract,"New York, NY",Medium,4,105.45,75.99,2022-05-16,2022-07-30,Open,1
635,43,Physical Therapist,Healthcare,Contract,"Detroit, MI",High,8,62.94,45.69,2024-02-05,2024-05-19,Filled,25
636,46,Data Engineer,IT,Contract-to-Hire,"Nashville, TN",High,2,64.8,49.71,2023-04-21,2023-08-19,Filled,23
637,34,SQL Developer,IT,Contract,"Portland, OR",Low,4,73.73,55.69,2023-09-20,2023-12-28,Open,20
638,22,Telecom Engineer,Telecom,Contract,"McLean, VA",Medium,6,91.18,70.3,2022-02-22,2022-04-07,Filled,20
639,24,Python Developer,IT,Contract,"Houston, TX",High,3,64.02,47.11,2023-07-29,2023-11-26,Open,8
640,8,Pharmacy Tech,Healthcare,Contract-to-Hire,"Portland, OR",Medium,6,108.99,82.31,2022-08-03,2022-09-30,Open,17
641,28,Risk Analyst,Finance,Contract,"Denver, CO",Low,2,54.36,38.99,2023-05-13,2023-08-15,Filled,23
642,44,Pharmacy Tech,Healthcare,Permanent,"Denver, CO",High,4,0.0,132458.84,2023-09-28,2023-12-14,Filled,3
643,26,.NET Developer,IT,Contract,"San Jose, CA",High,3,73.07,56.68,2022-06-18,2022-08-22,Filled,5
644,14,Supply Chain Analyst,Logistics,Permanent,"Austin, TX",Low,3,0.0,136407.86,2022-10-28,2023-01-19,Filled,12
645,29,RN - ER,Healthcare,Contract,"Chicago, IL",Medium,7,73.32,50.32,2023-06-17,2023-10-07,Closed,11
646,42,Financial Analyst,Finance,Contract,"Miami, FL",Medium,5,88.89,66.36,2023-07-16,2023-10-10,Closed,5
647,20,Telecom Engineer,Telecom,Contract,"McLean, VA",High,6,113.14,79.5,2022-10-23,2022-11-28,Open,15
648,40,Salesforce Developer,IT,Contract,"San Francisco, CA",High,3,106.94,75.77,2023-12-27,2024-04-23,Open,4
649,21,Python Developer,IT,Permanent,"Seattle, WA",High,9,0.0,74485.51,2023-01-14,2023-03-08,Open,22
650,23,SQL Developer,IT,Contract,"San Francisco, CA",High,1,79.83,58.59,2023-07-01,2023-09-07,Filled,16
651,10,Credit Analyst,Finance,Contract-to-Hire,"Newark, NJ",Medium,5,124.22,86.41,2023-07-14,2023-10-16,Filled,10
652,37,Credit Analyst,Finance,Contract,"Denver, CO",High,8,113.97,85.8,2022-12-13,2023-04-10,Open,5
653,36,Risk Analyst,Finance,Contract,"Chicago, IL",High,6,74.65,53.76,2023-04-02,2023-06-16,Open,20
654,13,Financial Analyst,Finance,Permanent,"Baltimore, MD",High,2,0.0,104482.54,2022-10-12,2022-12-06,Closed,15
655,43,Risk Analyst,Finance,Contract,"Orlando, FL",Low,9,128.07,92.14,2022-11-22,2023-03-09,Open,22
656,26,Business Analyst,IT,Contract,"Boston, MA",Medium,6,107.28,77.54,2023-01-17,2023-02-17,Open,10
657,36,LPN,Healthcare,Contract,"Newark, NJ",Medium,3,67.26,51.71,2023-03-02,2023-05-27,Filled,24
658,27,Telecom Engineer,Telecom,Contract,"Los Angeles, CA",Medium,9,116.84,86.44,2022-08-01,2022-10-08,Open,3
659,38,Actuary,Insurance,Contract-to-Hire,"Seattle, WA",Low,8,57.08,41.15,2023-03-01,2023-04-22,Closed,25
660,9,Actuary,Insurance,Contract,"Columbus, OH",Medium,10,64.88,46.6,2023-05-18,2023-06-22,Open,16
661,48,Pharmacy Tech,Healthcare,Contract-to-Hire,"Los Angeles, CA",Medium,2,67.96,51.59,2022-09-26,2022-12-03,Open,14
662,32,Salesforce Developer,IT,Contract,"Orlando, FL",Medium,10,52.28,39.55,2022-03-10,2022-06-24,Filled,19
663,17,RN - ER,Healthcare,Contract-to-Hire,"McLean, VA",High,5,127.94,97.47,2023-06-09,2023-09-20,Open,19
664,10,Python Developer,IT,Contract,"McLean, VA",Medium,6,86.88,65.1,2022-06-17,2022-07-23,Filled,21
665,23,Actuary,Insurance,Contract,"Houston, TX",High,2,73.19,53.65,2023-06-11,2023-08-04,Closed,25
666,35,Salesforce Developer,IT,Contract,"Minneapolis, MN",Medium,6,119.8,91.37,2024-03-30,2024-06-06,Open,18
667,23,Clinical Data Manager,Pharma,Contract,"McLean, VA",Medium,6,51.03,37.34,2024-03-08,2024-06-08,Open,4
668,10,Cybersecurity Analyst,IT,Permanent,"New York, NY",Low,9,0.0,81583.51,2024-03-25,2024-07-04,Closed,23
669,45,Pharmacy Tech,Healthcare,Contract,"San Jose, CA",High,8,83.39,64.34,2024-04-18,2024-06-03,Open,10
670,24,Compliance Officer,Finance,Contract,"Phoenix, AZ",High,5,115.36,88.71,2023-06-20,2023-09-01,Open,24
671,8,Mechanical Engineer,Manufacturing,Contract,"Portland, OR",High,4,60.3,45.19,2022-08-21,2022-10-29,Open,3
672,45,RN - ER,Healthcare,Contract,"Baltimore, MD",High,2,56.22,42.58,2023-03-18,2023-04-22,Open,22
673,38,Medical Coder,Healthcare,Contract,"Dallas, TX",High,2,87.53,67.47,2022-03-09,2022-05-16,Open,20
674,38,Cybersecurity Analyst,IT,Contract,"Houston, TX",Low,6,64.78,46.33,2022-05-30,2022-08-03,Open,6
675,33,Supply Chain Analyst,Logistics,Permanent,"Detroit, MI",Low,1,0.0,83136.69,2022-03-11,2022-04-22,Closed,7
676,13,Compliance Officer,Finance,Contract,"Austin, TX",High,9,63.74,48.15,2024-01-13,2024-02-24,Filled,12
677,38,Compliance Officer,Finance,Contract,"San Francisco, CA",Medium,4,85.17,66.07,2022-12-30,2023-03-18,Closed,8
678,8,RN - ER,Healthcare,Contract,"Los Angeles, CA",Medium,9,59.89,41.39,2023-05-23,2023-08-07,Open,3
679,32,SQL Developer,IT,Contract,"Newark, NJ",Medium,4,80.78,58.62,2022-11-16,2023-03-13,Closed,14
680,28,React Developer,IT,Contract,"Orlando, FL",High,1,118.54,91.21,2023-11-27,2024-02-12,Filled,22
681,26,DevOps Engineer,IT,Contract-to-Hire,"San Jose, CA",Medium,10,91.81,68.64,2022-05-27,2022-08-15,Open,24
682,11,Actuary,Insurance,Contract,"New York, NY",High,4,79.1,55.36,2023-09-02,2023-11-22,Filled,24
683,18,Physical Therapist,Healthcare,Permanent,"Baltimore, MD",Medium,6,0.0,109523.75,2024-03-19,2024-07-09,Filled,22
684,26,Radiologist Technician,Healthcare,Contract-to-Hire,"Denver, CO",Medium,8,90.91,63.16,2022-04-21,2022-06-05,Filled,8
685,9,Financial Analyst,Finance,Contract,"Houston, TX",High,3,57.97,39.73,2023-05-26,2023-09-19,Filled,20
686,21,Risk Analyst,Finance,Contract,"Baltimore, MD",Low,8,74.22,55.1,2022-03-20,2022-07-12,Filled,7
687,43,React Developer,IT,Contract-to-Hire,"Charlotte, NC",Low,1,89.22,63.0,2024-04-08,2024-07-16,Open,14
688,8,Telecom Engineer,Telecom,Contract-to-Hire,"Denver, CO",High,3,86.01,65.82,2023-04-16,2023-05-20,Closed,22
689,50,Supply Chain Analyst,Logistics,Contract,"Philadelphia, PA",Medium,8,120.78,84.11,2022-05-18,2022-07-26,Open,19
690,32,Risk Analyst,Finance,Permanent,"Detroit, MI",Low,3,0.0,116403.06,2023-04-27,2023-07-26,Closed,2
691,17,RN - ICU,Healthcare,Contract-to-Hire,"Minneapolis, MN",Medium,1,97.28,69.83,2022-12-28,2023-03-04,Open,19
692,9,Python Developer,IT,Contract,"Austin, TX",Medium,7,77.91,58.76,2024-02-23,2024-06-12,Open,14
693,23,Business Analyst,IT,Contract-to-Hire,"Chicago, IL",Medium,10,78.1,58.27,2022-08-29,2022-12-19,Open,23
694,20,.NET Developer,IT,Contract,"Charlotte, NC",Medium,10,77.01,52.52,2022-02-08,2022-05-07,Closed,14
695,2,Cloud Architect,IT,Contract-to-Hire,"Boston, MA",Medium,10,97.04,75.55,2023-08-08,2023-10-26,Open,16
696,45,DevOps Engineer,IT,Contract,"Baltimore, MD",High,10,76.88,56.14,2023-11-15,2024-01-27,Open,12
697,13,RN - ER,Healthcare,Contract-to-Hire,"Houston, TX",Medium,5,100.84,78.39,2023-07-03,2023-08-29,Open,10
698,26,Clinical Data Manager,Pharma,Contract,"Portland, OR",Low,6,99.97,77.56,2023-08-16,2023-09-27,Open,3
699,34,Clinical Data Manager,Pharma,Contract-to-Hire,"Houston, TX",Low,5,84.17,60.16,2023-10-30,2024-01-06,Filled,22
700,21,Pharmacy Tech,Healthcare,Contract,"Miami, FL",Low,3,83.15,58.63,2023-04-10,2023-08-03,Open,21
701,34,Compliance Officer,Finance,Contract,"Newark, NJ",Low,10,96.15,67.43,2023-04-24,2023-06-27,Filled,19
702,41,Accounting Manager,Finance,Contract,"Los Angeles, CA",Medium,7,91.78,65.75,2022-09-04,2022-10-23,Filled,11
703,5,Supply Chain Analyst,Logistics,Contract,"Atlanta, GA",Medium,10,117.68,83.16,2023-10-24,2023-12-13,Open,13
704,8,Network Engineer,IT,Contract,"Atlanta, GA",Low,7,65.35,46.04,2023-04-21,2023-07-22,Filled,21
705,3,Telecom Engineer,Telecom,Contract,"Seattle, WA",Low,3,62.75,43.53,2024-03-19,2024-05-23,Open,24
706,2,Physical Therapist,Healthcare,Contract,"Phoenix, AZ",Medium,6,118.77,81.76,2022-11-02,2022-12-10,Open,13
707,47,Mechanical Engineer,Manufacturing,Contract,"Miami, FL",Low,9,68.88,50.77,2022-05-04,2022-08-08,Open,16
708,6,Telecom Engineer,Telecom,Contract,"Charlotte, NC",Medium,4,97.99,74.21,2022-12-04,2023-03-18,Filled,7
709,7,Data Engineer,IT,Contract,"Philadelphia, PA",High,8,67.13,47.49,2022-09-18,2023-01-01,Closed,12
710,8,Compliance Officer,Finance,Contract,"Chicago, IL",Medium,8,93.66,68.14,2022-10-12,2022-11-29,Open,10
711,42,Java Developer,IT,Permanent,"Newark, NJ",High,5,0.0,67610.71,2023-11-10,2023-12-16,Closed,13
712,41,React Developer,IT,Contract,"Columbus, OH",Medium,1,122.25,91.51,2022-08-31,2022-11-25,Filled,9
713,6,React Developer,IT,Contract,"San Francisco, CA",Medium,7,73.79,56.52,2023-03-26,2023-07-14,Open,9
714,6,Supply Chain Analyst,Logistics,Contract-to-Hire,"Charlotte, NC",High,3,87.69,63.25,2024-01-05,2024-03-29,Open,17
715,23,.NET Developer,IT,Contract-to-Hire,"Newark, NJ",High,1,98.17,74.74,2022-12-01,2023-02-27,Open,21
716,42,LPN,Healthcare,Contract,"Atlanta, GA",High,2,50.25,35.18,2022-11-18,2023-03-01,Open,8
717,46,Medical Coder,Healthcare,Contract,"Charlotte, NC",High,5,117.76,88.15,2023-04-08,2023-07-08,Open,22
718,21,Clinical Data Manager,Pharma,Contract,"San Francisco, CA",Low,4,65.89,47.54,2023-02-07,2023-04-26,Open,1
